Run_ID,Cenário,Repetição,Infectados,Taxa_Ataque,Pico_Viral,Dose_Index,CO2_Final,Tempo_Calc_s
A_Rep1,A. Hermético (Controle),Rep1,25,100.0,17.190681,31.490349,743.02563,28.119438886642456
A_Rep2,A. Hermético (Controle),Rep2,25,100.0,11.139929,40.69667,743.28674,20.155970811843872
A_Rep3,A. Hermético (Controle),Rep3,25,100.0,15.96989,40.332012,740.3579,18.30042576789856
A_Rep4,A. Hermético (Controle),Rep4,25,100.0,5.4459653,25.530975,738.03394,20.26276707649231
A_Rep5,A. Hermético (Controle),Rep5,24,95.83333333333334,22.459528,35.808952,738.72327,16.418078184127808
B_Rep1,B. Escola Padrão,Rep1,25,100.0,14.341919,2.8032851,440.9775,19.47478413581848
B_Rep2,B. Escola Padrão,Rep2,24,95.83333333333334,3.1357508,1.9413445,440.78076,19.282015800476074
B_Rep3,B. Escola Padrão,Rep3,25,100.0,11.888989,2.7045965,440.75577,16.228846311569214
B_Rep4,B. Escola Padrão,Rep4,25,100.0,8.053856,2.733526,440.86234,19.534607648849487
B_Rep5,B. Escola Padrão,Rep5,25,100.0,12.285751,2.7453265,440.74158,18.177574157714844
C_Rep1,C. Ventilação Otimizada,Rep1,25,100.0,12.393737,1.2598224,418.795,18.21425437927246
C_Rep2,C. Ventilação Otimizada,Rep2,25,100.0,2.5530643,0.89392483,418.7928,18.04246211051941
C_Rep3,C. Ventilação Otimizada,Rep3,23,91.66666666666666,2.5506332,0.88166434,418.79694,18.45997405052185
C_Rep4,C. Ventilação Otimizada,Rep4,25,100.0,7.7378044,1.2458615,418.77133,19.11162757873535
C_Rep5,C. Ventilação Otimizada,Rep5,25,100.0,12.735452,1.2300335,418.79736,24.127684116363525
D_Rep1,D. Superlotação,Rep1,40,100.0,14.054667,2.7200866,465.31616,43.628889322280884
D_Rep2,D. Superlotação,Rep2,40,100.0,14.019079,2.731834,465.27875,42.94995093345642
D_Rep3,D. Superlotação,Rep3,40,100.0,14.415941,2.759398,465.2903,38.46316051483154
D_Rep4,D. Superlotação,Rep4,39,97.43589743589743,10.575313,2.7071295,465.0517,32.849711894989014
D_Rep5,D. Superlotação,Rep5,40,100.0,9.255042,2.7068503,464.99335,32.8624153137207
